company_name,cin,other_name,other_cin
RELIANCE COMMUNICATIONS ENTERPRISES PRIVATE LIMITED,U64200MH2006PTC159355,AAA COMMUNICATION PRIVATE LIMITED;RELIANCE COMMUNICATIONS ENTERPRISES PRIVATE LIMITE D;Reliance Communications Enterprises Private Limited;RELIANCE COMMUNICATIONS ENTERPRISESPRIVATE LIMITED,
TRIUMVIRATE SORORITY PRIVATE LIMITED,U70100MH2006PTC160725,AAA Corporation Private Limited,
DNEG INDIA MEDIA SERVICES LIMITED,U70100MH2006PLC160748,AAA DIGITAL IMAGING LIMITED;AAA DIGITAL IMAGING PRIVATE LIMITED;AAA INFRASTRUCTURE INVESTMENT PRIVATE LIMITED;DIGITAL MEDIA IMAGING LIMITED;Gener8 India Media Services Limited;PRIME FOCUS ENTERTAINMENT SERVICES LIMITED;RELIANCE MEDIAWORKS ENTERTAINMENT SERVICES LIMITED,
RELIANCE INCEPTUM PRIVATE LIMITED,U74999MH2004PTC150308,AAA ENTERPRISES PRIVATE LIMITED;Reliance Inceptum Private Limited,
RELIANCE INTERACTIVE ADVISORS PRIVATE LIMITED,U64201MH2007PTC168608,AAA Entertainment Private Limited;FIRSTCONNECT TELECOM PRIVATE LIMITED;RELIANCE INTERACTIVE ADVISORS PRIVATELIMITED,
AAA FACILITIES SOLUTION PRIVATE LIMITED,U74210MH2006PTC160639,AAA Facilities Solution Private Limited,
RWTIPL INDUSTRIES PRIVATE LIMITED,U29300MH2005PTC150533,AAA INDUSTRIES PRIVATE LIMITED;RELIANCE WIND TURBINE INSTALLATORS INDUSTRIES PRIV ATE LIMITED;Reliance Wind Turbine Installators Industries Private Limited;RELIANCE WIND TURBINE INSTALLATORSINDUSTRIES PRIVATE LIMITED,
RELIANCE INFRASTRUCTURE CONSULTING & ENGINEERS PRIVATE LIMITED,U74210MH2006PTC160533,AAA INFRASTRUCTURE CONSULTING AND ENGINEERS PRIVAT E LIMITED;Reliance Infrastructure Consulting  Engineers Private Limited;RELIANCE INFRASTRUCTURE CONSULTING & ENGINEERS PRI VATE LIMITED;RELIANCE INFRASTRUCTURE CONSULTING &ENGINEERS PRIVATE LIMITED,
RBEP ENTERTAINMENT PRIVATE LIMITED,U72900MH2006PTC160603,AAA INTERACTIVE MEDIA PRIVATE LIMITED;Reliance BIG Entertainment Private Limited;RELIANCE BIG ENTERTAINMENT PRIVATELIMITED,
RELIANCE INFRADEVELOPMENT PRIVATE LIMITED,U51395MH2004PTC150310,AAA INTERNATIONAL CAPITAL PRIVATE LIMITED;AAA INTERNATIONAL PRIVATE LIMITED;Reliance Infradevelopment Private Limited;RELIANCE INFRADEVELOPMENT PRIVATELIMITED,
